tadig,country,network,access_fee_eur,data_per_mb,is_prohibited,no_roaming,data_not_launched,no_resell,comments
INDE1,India,Vodafone - Dehli,0.0,0.2,False,False,False,False,
INDEH,India,Idea Cellular Haryana,0.0,1.0,False,False,False,False,
INDEK,India,Idea Cellular Kerala,0.0,1.0,False,False,False,False,
INDEU,India,Idea Cellular Uttar Pradesh West,0.0,1.0,False,False,False,False,
INDF1,India,Vodafone West Ltd,0.0,0.2,False,False,False,False,
INDH1,India,Airtel (Rajastan),0.0,0.03,False,False,False,False,
INDHM,India,Vodafone India Limited,0.0,0.2,False,False,False,False,
INDIB,India,Idea Cellular Bihar & Jharkhand,0.0,1.0,False,False,False,False,
INDID,India,Idea Cellular Dehli,0.0,1.0,False,False,False,False,
INDIH,India,Idea Cellular Himachal Pradesh,0.0,1.0,False,False,False,False,
INDIK,India,Idea Cellular Kolkata,0.0,1.0,False,False,False,False,
INDIM,India,Idea Cellular Mumbai,0.0,1.0,False,False,False,False,
INDIO,India,Idea Cellular Orissa,0.0,1.0,False,False,False,False,
INDIR,India,Idea Cellular Rajasthan,0.0,1.0,False,False,False,False,
INDIT,India,Idea Cellular Tamil Nadu & Chennai,0.0,1.0,False,False,False,False,
INDIU,India,Idea Cellular Uttarpradesh East,0.0,1.0,False,False,False,False,
INDJB,India,Airtel (Karnataka),0.0,0.03,False,False,False,False,
INDJH,India,Airtel (Andhra Pradesh),0.0,0.03,False,False,False,False,
INDMP,India,Idea Cellular MADHYA PRADESH,0.0,1.0,False,False,False,False,
INDMT,India,Airtel Kolkata,0.0,0.03,False,False,False,False,
INDSC,India,Airtel Chennai,0.0,0.03,False,False,False,False,
INDSK,India,Idea Cellular Karnataka,0.0,1.0,False,False,False,False,
INDSP,India,Idea Cellular Punjab,0.0,1.0,False,False,False,False,
INDMB,India,MTNL Mumbai,0.0,0.0,False,False,True,False,data not launched
INDA8,India,Airtel Madhya Pradesh,0.0,0.03,False,False,False,False,
INDA9,India,Airtel Punjab,0.0,0.03,False,False,False,False,
INDAT,India,Airtel (Dehli),0.0,0.03,False,False,False,False,
INDA6,India,Airtel Uttar Pradesh West,0.0,0.03,False,False,False,False,
INDA7,India,Airtel Kerala,0.0,0.03,False,False,False,False,
IND15,India,Airtel Assam,0.0,0.03,False,False,False,False,
IND16,India,Airtel North East,0.0,0.03,False,False,False,False,
INDIW,India,Idea Cellular West Bengal,0.0,1.0,False,False,False,False,
IND07,India,Idea Cellular Andhra Pradesh,0.0,1.0,False,False,False,False,
IND10,India,Airtel UP East,0.0,0.03,False,False,False,False,
IND11,India,Airtel Orissa,0.0,0.03,False,False,False,False,
IND12,India,Airtel Bihar,0.0,0.03,False,False,False,False,
IND14,India,Airtel West Bengal (incl A&N),0.0,0.03,False,False,False,False,
INDA1,India,Airtel Mumbai,0.0,0.03,False,False,False,False,
INDA2,India,Airtel Maharashtra & Goa,0.0,0.03,False,False,False,False,
INDA3,India,Airtel Gujarat,0.0,0.03,False,False,False,False,
INDA4,India,Airtel (Tamil Nadu),0.0,0.03,False,False,False,False,
INDA5,India,Airtel Haryana,0.0,0.03,False,False,False,False,
INDBI,India,Idea Cellular Gujarat,0.0,1.0,False,False,False,False,
INDBK,India,Vodafone Cellular Limited,0.0,0.2,False,False,False,False,
INDBL,India,Airtel Himachal Pradesh,0.0,0.03,False,False,False,False,
INDBM,India,Vodafone Cellular Limited,0.0,0.2,False,False,False,False,
INDBO,India,Idea cellular Maharastra,0.0,1.0,False,False,False,False,
IDNTS,Indonesia,Telkomsel,0.0,0.06,False,False,False,False,
IDN89,Indonesia,Hutchison 3,0.0,0.1,False,False,False,False,
IDNEX,Indonesia,XL,0.0,0.06,False,False,False,False,
IDNSL,Indonesia,Indosat,0.0,0.5,False,False,False,False,
IRN11,Iran,MCI,0.0,0.1,False,False,False,False,
IRNMI,Iran,Irancell,0.0,0.5,False,False,False,False,
IRNTT,Iran,RighTel,0.0,0.2,False,False,False,False,
IRQAC,Iraq,Asiacell,0.0,0.02,False,False,False,False,
IRQAT,Iraq,Zain IQ,0.0,0.02,False,False,False,False,
IRQKK,Iraq,Korek Telecom,0.0,0.1,False,False,False,False,
IRLEC,Ireland,Vodafone,0.0,0.01,False,False,False,False,
IRLDF,Ireland,Digifone,0.17,0.006,False,False,False,False,Access fee
IRLH3,Ireland,H3G,0.17,0.01,False,False,False,False,Access fee
IRLME,Ireland,Meteor,0.0,0.01,False,False,False,False,
GBRMT,Isle of Man,MANX,0.0,0.02,False,False,False,False,
ISR01,Israel,IL Orange,0.0,0.0135,False,False,False,False,
ISRMS,Israel,Hot Mobile,0.05,0.0135,False,False,False,False,Access fee
ISRCL,Israel,Cellcom,0.0,30.0,False,False,False,False,
ISRPL,Israel,Pelephone,0.1,0.018,False,False,False,False,Access fee
ITAH3,Italy,Wind Tre,0.17,0.006,False,False,False,False,Access fee
ITASI,Italy,Telecom Italia,0.05,0.01,False,False,False,False,Access fee
ITAWI,Italy,Wind Tre,0.17,0.006,False,False,False,False,Access fee
ITAFM,Italy,Iliad Italy,0.0,0.06,False,False,False,False,
ITAOM,Italy,Vodafone,0.0,0.01,False,False,False,False,
JAMDC,Jamaica,Digicel,0.05,0.1,False,False,False,False,Access fee
JAMCW,Jamaica,Cable and Wireless Jamaica Ltd,0.0,0.1,False,False,False,False,
JPNJP,Japan,Softbank,0.15,0.06,False,False,False,False,Access fee
JPNDO,Japan,DoCoMo,0.0,1.0,False,True,False,False,no permanent roaming
GBRGT,Jersey,Sure,0.0,0.06,False,False,False,False,
GBRJT,Jersey,JT Gsm,0.1,0.02,False,False,False,False,Access fee
JORMC,Jordan,Orange,0.0,20.0,False,False,False,False,
JORUM,Jordan,Umniah Mobile Company,0.0,0.02,False,False,False,False,
